@timestamp,@message,@logStream,@log,@maxMemoryUsed,@duration
2025-05-14 05:02:04.048,"REPORT RequestId: 532a70a6-db7c-4716-b4df-53dd03baa3ab	Duration: 7725.82 ms	Billed Duration: 7726 ms	Memory Size: 1024 MB	Max Memory Used: 778 MB	
",2025/05/14/[$LATEST]273569a672d04abe9a1dc7f80a205d7b,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,778000000,7725.82
2025-05-14 05:02:03.888,"REPORT RequestId: 114caeb0-ebbe-476b-9240-14a7d0f924b6	Duration: 7586.12 ms	Billed Duration: 7587 ms	Memory Size: 1024 MB	Max Memory Used: 784 MB	
",2025/05/14/[$LATEST]a9fb07450ea54cc9b5b66221d078dfaa,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,784000000,7586.12
2025-05-14 05:02:03.592,"REPORT RequestId: 3781bf69-0cae-4e6f-92f4-7317acad68fe	Duration: 7654.98 ms	Billed Duration: 7655 ms	Memory Size: 1024 MB	Max Memory Used: 778 MB	
",2025/05/14/[$LATEST]e829892218db44d0a619370416a05456,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,778000000,7654.98
2025-05-14 05:02:02.185,"REPORT RequestId: 14aaefcf-8b24-4cec-90a6-b530d7376a54	Duration: 7377.41 ms	Billed Duration: 7378 ms	Memory Size: 1024 MB	Max Memory Used: 774 MB	
",2025/05/14/[$LATEST]95a6b7a57206475cb5bf30968e2179a8,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,774000000,7377.41
2025-05-14 05:01:59.563,"REPORT RequestId: 897f6e1d-f8ee-4bd5-8f09-f2b4c50aba87	Duration: 8339.24 ms	Billed Duration: 8340 ms	Memory Size: 1024 MB	Max Memory Used: 664 MB	
",2025/05/14/[$LATEST]d226844866a04152b187190d0e2614de,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,664000000,8339.24
2025-05-14 05:01:56.213,"REPORT RequestId: 1fdb0406-015a-4c13-8f2a-6ca8ef79985f	Duration: 7692.63 ms	Billed Duration: 7693 ms	Memory Size: 1024 MB	Max Memory Used: 784 MB	
",2025/05/14/[$LATEST]a9fb07450ea54cc9b5b66221d078dfaa,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,784000000,7692.63
2025-05-14 05:01:56.186,"REPORT RequestId: 3dec32f3-8a53-428b-af33-77498c8de2c2	Duration: 7714.02 ms	Billed Duration: 7715 ms	Memory Size: 1024 MB	Max Memory Used: 774 MB	
",2025/05/14/[$LATEST]273569a672d04abe9a1dc7f80a205d7b,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,774000000,7714.02
2025-05-14 05:01:55.747,"REPORT RequestId: 2905bfe6-cb36-46f2-89ac-5b4b4acbb117	Duration: 7514.82 ms	Billed Duration: 7515 ms	Memory Size: 1024 MB	Max Memory Used: 770 MB	
",2025/05/14/[$LATEST]e829892218db44d0a619370416a05456,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,770000000,7514.82
2025-05-14 05:01:54.594,"REPORT RequestId: 64599ea0-cdcc-4f4f-b801-19731bf4cbc7	Duration: 7509.40 ms	Billed Duration: 7510 ms	Memory Size: 1024 MB	Max Memory Used: 763 MB	
",2025/05/14/[$LATEST]95a6b7a57206475cb5bf30968e2179a8,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,763000000,7509.4
2025-05-14 05:01:51.107,"REPORT RequestId: 19f112c9-b7af-461d-a7d3-9e0f6de28d47	Duration: 8310.09 ms	Billed Duration: 8311 ms	Memory Size: 1024 MB	Max Memory Used: 664 MB	
",2025/05/14/[$LATEST]d226844866a04152b187190d0e2614de,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,664000000,8310.09
2025-05-14 05:01:48.405,"REPORT RequestId: fe39de04-ccfc-4477-b293-6bbef52f9cca	Duration: 7484.91 ms	Billed Duration: 7485 ms	Memory Size: 1024 MB	Max Memory Used: 766 MB	
",2025/05/14/[$LATEST]273569a672d04abe9a1dc7f80a205d7b,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,766000000,7484.91
2025-05-14 05:01:48.356,"REPORT RequestId: 8be5afd2-b245-4756-8dd1-b53c2f89baf3	Duration: 7562.74 ms	Billed Duration: 7563 ms	Memory Size: 1024 MB	Max Memory Used: 774 MB	
",2025/05/14/[$LATEST]a9fb07450ea54cc9b5b66221d078dfaa,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,774000000,7562.74
2025-05-14 05:01:48.109,"REPORT RequestId: fd2f26cd-f1c2-4301-9eab-b0af6dcebbba	Duration: 7548.90 ms	Billed Duration: 7549 ms	Memory Size: 1024 MB	Max Memory Used: 770 MB	
",2025/05/14/[$LATEST]e829892218db44d0a619370416a05456,256727551815:/aws/lambda/image-resizer-dev-imageResizerNode,770000000,7548.9
