@timestamp,@message,@logStream,@log,@maxMemoryUsed,@duration
2025-05-14 05:52:01.232,"REPORT RequestId: 58755820-e5d4-48ba-b382-9d8ab7b3acdb	Duration: 3426.83 ms	Billed Duration: 3427 ms	Memory Size: 1024 MB	Max Memory Used: 541 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,541000000,3426.83
2025-05-14 05:52:01.178,"REPORT RequestId: 9698760f-3127-42db-a837-1880d8e072c3	Duration: 3387.73 ms	Billed Duration: 3388 ms	Memory Size: 1024 MB	Max Memory Used: 515 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,515000000,3387.73
2025-05-14 05:52:01.077,"REPORT RequestId: 0c04a819-8a74-442c-a641-fa7dcc7a8ff4	Duration: 3296.85 ms	Billed Duration: 3297 ms	Memory Size: 1024 MB	Max Memory Used: 642 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,642000000,3296.85
2025-05-14 05:51:58.549,"REPORT RequestId: 5b1bd1d7-2614-43b3-8c8a-5d61158c513c	Duration: 3269.09 ms	Billed Duration: 3270 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3269.09
2025-05-14 05:51:58.042,"REPORT RequestId: d4ba23bc-03c2-4d7c-a464-624863ac916b	Duration: 3527.70 ms	Billed Duration: 3528 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3527.7
2025-05-14 05:51:57.716,"REPORT RequestId: 67593a60-683b-4e2c-b257-b74f2d91563b	Duration: 3479.24 ms	Billed Duration: 3480 ms	Memory Size: 1024 MB	Max Memory Used: 642 MB	
",2025/05/14/[$LATEST]8495cd2a0f2f47ecac986622eed6d939,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,642000000,3479.24
2025-05-14 05:51:57.699,"REPORT RequestId: c60e3f03-4e6d-4bf9-8d69-aff2aef94a2b	Duration: 3618.21 ms	Billed Duration: 3619 ms	Memory Size: 1024 MB	Max Memory Used: 509 MB	
",2025/05/14/[$LATEST]0fe6bf3513e6409b80381b65214b213e,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,509000000,3618.21
2025-05-14 05:51:57.691,"REPORT RequestId: fd248607-69e1-4291-8e65-259a7bdb8af5	Duration: 3583.60 ms	Billed Duration: 3584 ms	Memory Size: 1024 MB	Max Memory Used: 512 MB	
",2025/05/14/[$LATEST]3f135b8910c845b7a08f4ee991a6ce9b,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,512000000,3583.6
2025-05-14 05:51:55.188,"REPORT RequestId: d89d0e5e-7905-4e61-ae5c-db75c5d4bc49	Duration: 3255.53 ms	Billed Duration: 3256 ms	Memory Size: 1024 MB	Max Memory Used: 596 MB	
",2025/05/14/[$LATEST]0491cbc574e643a9804f209a6f6f087c,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,596000000,3255.53
2025-05-14 05:51:54.422,"REPORT RequestId: 7f997347-6934-41f3-9854-7357e5a5a50e	Duration: 3724.69 ms	Billed Duration: 3725 ms	Memory Size: 1024 MB	Max Memory Used: 584 MB	
",2025/05/14/[$LATEST]1a4d6471a29044369e44b2a5d30ebb4a,256727551815:/aws/lambda/xml-parser-dev-xmlParserBun,584000000,3724.69
